Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who made improvements in function,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay high-risk residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay low-risk residents who lose control of their bowels or bladder,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
DAVID GAMZEH & GABRIEL SEBBAG,648,10,1,0,0,2,20,100,0,0,2,1.9,1.4,3.6,3.1,2.7,0.6,52.2,57.2,0.9,20,2,560045.1,56004.51,1,0.1,19.9,10.2,2.1,3.1,70.8,72.4,65.1,1.6,0.89,17.5,2.9,4.2,2,1.1,21.4,16.1,96.8,88,0.2,46.2,5.9,4.5,16.1,10.1,38.2,23.9
DAVID MARX,179,10,1,0,1,1,10,100,0,0,1.8,2,1.6,2.8,3.1,2.7,0.5,56.5,53,0.4,5,0.5,380683.58,38068.36,1,0.1,24.7,14,1.2,2.5,74.8,67.7,71.1,2.31,1.3,14.7,3.9,9.7,2.1,1.3,9.4,14.1,96.5,89.9,0.2,45.7,5.6,13.9,27.4,10.9,47.3,2.6
DAVID WEISZ,664,9,1,0,0,0,0,100,0,0,1.3,1.8,2.3,2,3.5,3,0.6,69.9,61,0.8,8,0.9,153731.5,17081.28,4,0.4,21.6,16.2,3.1,6.4,78.2,49.6,58.6,2.61,1.21,27.1,6.1,9.4,3,4.1,18.3,15.8,85.3,75.8,0,40,5.2,5.5,18.4,10.1,60.6,7.6
DELMAR GARDENS,180,14,5,0,0,2,14.3,100,0,0,2.7,2.6,3,3.1,3.9,3.4,0.3,54,49.8,1.2,22,1.6,396940.28,28352.88,4,0.3,26.9,8.4,1.8,4.8,77.4,62.2,70.8,2.43,0.72,17,4,9.7,3.7,1,13.3,14.2,93.8,88.7,0.1,39.3,5.6,1.9,19.5,10.7,53.4,27.3
DIAKONOS GROUP,182,8,1,0,0,0,0,100,0,0,2.9,2.8,3.1,3.1,4.7,4.2,0.5,71.8,70.8,2.8,9,1.1,120845.49,15105.69,1,0.1,27.8,14.5,1.6,2.3,77.9,63.1,71.4,2.63,1.65,4.9,5.7,7.7,2.2,1.9,15.1,16.2,92.8,87.3,0,46,2.6,0.8,23.5,11,29.2,1.4
DIOCESAN HEALTH FACILITIES,184,5,1,0,0,0,0,0,100,0,2.6,2.4,4.2,2.8,3.9,3.7,0.7,34.6,35.8,0,9,1.8,127162.04,25432.41,0,0,19.7,11.1,4,5.5,76,78.3,65.7,1.99,0.86,20.4,4.7,6.1,4,1.8,16.6,18.9,95.9,91.3,0.8,69.7,5,1,16.9,9.8,60.8,21.8
DIVERSICARE HEALTHCARE,185,51,7,0,1,2,3.9,96.1,2,2,2.6,2.4,2.3,3.8,3.2,2.8,0.5,54.2,50.1,0.7,66,1.3,1869939.97,36665.49,9,0.2,24.3,13.1,1.9,1.4,84.5,77.6,80.7,1.87,1.25,12.7,3.6,7.8,1.5,1.1,13.2,11.5,97.3,95.1,0.1,43.1,5.4,2.9,21.7,10.8,34,6.2
DIVINE HEALTHCARE MANAGEMENT,186,9,2,0,0,2,22.2,100,0,0,1.3,1.2,2,3.8,3.4,3,0.5,60.2,63.4,0.8,32,3.6,900257.44,100028.6,8,0.9,17.5,19.2,1,3,81.5,47.4,44.5,1.59,1.72,16.3,3.1,6,0.6,1,16.4,16.4,87.9,77.8,0.1,45.7,6.5,31.7,19.2,10.5,36.7,24.2
DOVE HEALTHCARE,187,6,1,0,0,0,0,100,0,0,5,4.5,4.8,4.5,5.6,4.9,1.5,43.5,26,0.2,3,0.5,12157.8,2026.3,0,0,21.3,18,0,1.6,82.9,91.1,91.2,1.24,1.85,6.8,2.8,6.7,2.6,4.7,12,5,99.2,98.3,0,55.6,3.8,2.2,19.8,9.1,45.1,25
DYNASTY HEALTHCARE GROUP,649,5,1,0,0,0,0,100,0,0,2.2,2.6,1.6,3.2,3.3,2.8,0.3,62.3,69.4,0.6,17,3.4,116137.11,23227.42,1,0.2,25.9,11.4,1.5,3.6,66.7,90.2,94.9,1.88,1.26,9.5,3,10.2,1,1.2,14.1,14.5,98.9,99.5,0,48.7,4.5,0.7,19.8,10.9,46.7,1.8
EASTERN HEALTHCARE GROUP,608,7,1,0,1,1,14.3,100,0,0,1,1.3,1,2.9,3,2.5,0.3,66.1,70.6,0.7,18,2.6,793441.84,113348.83,3,0.4,21.8,17.7,1.5,3.5,72.4,31.6,37.6,1.61,1.52,7.4,3.3,7,1.4,0.7,19.8,23.1,82.4,71.4,0,47.1,5.5,12.4,18.9,11.2,47.5,26.4
ECUMEN,650,7,1,0,0,0,0,0,57.1,42.9,3.3,2.7,4.6,3.4,4.7,4.1,1,48.8,39.6,0.3,13,1.9,296701.06,42385.87,3,0.4,21.9,23.3,1.8,2.2,82,84.4,95.2,1.71,1.43,13.7,6.4,6.5,2.1,3.7,15.7,13.1,92.7,98.6,0,44.4,4.5,0.8,13,9.2,58.4,9.5
EDEN HEALTHCARE,191,7,2,0,0,0,0,100,0,0,3,2.9,2.9,3.6,3.5,3,0.8,54.1,44.4,0.6,25,3.6,222652.87,31807.55,1,0.1,25.2,10.8,2.2,2.7,76.5,79.7,83.5,1.05,0.87,15.4,3.1,8.6,0.8,0.4,17.8,17.8,96.8,97.4,0.2,48.1,5.4,1.5,14.9,9.8,46,12.2
EDEN SENIOR CARE,192,14,2,0,1,1,7.1,100,0,0,3,2.9,2.8,3.6,3.6,3.1,0.9,55.6,49.8,1.2,17,1.2,336651.57,24046.54,1,0.1,20.8,14.1,0.8,5.6,86.9,81.1,87.3,1.47,1.17,13.6,2.5,10.9,3.4,1.6,15.4,10.1,95.3,94.5,0,54.9,4,5.7,15.5,10.1,50.8,12.8
EDURO HEALTHCARE,193,33,8,1,4,6,18.2,84.8,0,15.2,2.1,2.5,1.5,3,3,2.7,0.5,63.9,58.8,0.6,98,3,1654271.74,50129.45,9,0.3,21.7,15.9,2.7,3.4,71.4,72.1,79.8,1.8,1.39,13.8,4.3,7.7,2.6,1.6,15.9,18,94.7,91.8,0,52.7,6.3,6.5,19.7,10,33.9,5.2
EL DORADO NURSING AND REHABILITATION,609,6,1,0,0,3,50,100,0,0,1,1.2,1,2,3,2.6,0.3,76.8,83.2,3.5,16,2.7,494498.21,82416.37,4,0.7,23.5,17.8,2.1,2,78,61.9,65.6,2.57,1.32,10.4,2.6,9.8,1.4,1.4,27,32.6,90.5,84.3,0,24.6,5.7,25.6,18.9,11.1,38.3,16
ELDER OUTREACH NURSING & REHABILITATION,194,5,1,0,0,0,0,0,100,0,2.8,2.8,2,3,3.8,3.2,0.1,56.9,60,0.2,5,1,17815.85,3563.17,0,0,26,14.8,3,1.9,91.7,96.7,98.7,2.26,2.15,21,3.2,6,0.7,0,6.9,11.6,99.5,99.8,0,31.8,3.4,0.3,27.7,10.6,51.5,3.5
ELDER SERVICES,195,6,1,0,0,0,0,100,0,0,2,2,3,2.3,3.7,3.4,0.5,60.9,65.9,0.4,12,2,465540.86,77590.14,3,0.5,22.2,12.7,1.3,2.1,69.7,71.5,67.9,2.02,0.88,33,4.1,7,3,1.4,23.4,21.5,92.1,86.7,1.9,53.1,5.8,0.8,24,9.9,60.4,25.4
ELDERWOOD,196,17,3,0,1,0,0,100,0,0,3,3.2,1.7,3.5,3.3,2.8,0.7,56.9,44,0.4,46,2.7,360824.16,21224.95,1,0.1,19.5,11.4,1.7,3.4,74.9,77.3,73,1.07,0.91,14,4.4,10.1,2.4,1.5,22.6,16.4,95.8,89.2,0.1,69.9,7,3.9,13,10,64.1,11.3
ELEVATE CARE,197,13,2,0,0,4,30.8,100,0,0,2.2,2.1,2.2,3.2,3.4,2.9,0.7,46.8,52.4,1,66,5.1,1849370.68,142259.28,7,0.5,27.8,10.1,3.2,1.7,82.8,54.8,54.9,2.17,1,19.1,1.9,14.5,1.8,1.5,12.7,10.5,87.5,71.2,0.2,49.4,8.1,40.6,13.4,10.4,34.1,21.3
ELMBROOK MANAGEMENT COMPANY,198,12,1,0,0,0,0,100,0,0,3.5,3.6,3,2.8,3.4,3,0.4,55.8,28.4,0.4,2,0.2,28121.31,2343.44,0,0,31.2,18.3,3.1,2.8,79.1,68.2,71.3,2.44,1.66,12,3.6,6.5,2.4,2.8,12.5,14.9,97,95.6,0,37.9,3.2,2.9,27.4,11.8,52.7,0.4
EMBASSY HEALTHCARE,199,31,2,0,3,3,9.7,100,0,0,1.7,2.1,1.2,3.7,3.1,2.8,0.4,70.1,78.5,2.5,104,3.4,1875901.62,60512.96,18,0.6,22.5,11.6,1.8,2.8,76.9,56.3,55.2,1.7,1.17,21.7,3.5,7.6,1.4,0.6,13.1,11.3,92.2,85.1,0.2,41.6,6.8,12.1,24.4,10.5,35.1,15.5
EMERALD HEALTHCARE,630,8,2,1,1,0,0,100,0,0,1.1,1.3,1.6,2.1,3.3,3,0.4,77.8,71,1,59,7.4,891063.47,111382.93,9,1.1,23.6,13.3,2.6,5.2,76.4,44.9,32.1,2.47,1.73,16.4,5.9,9.4,2.2,1.6,21.2,20.2,86.7,64.3,0,46.5,5.4,1.7,20.3,10.2,27.8,5.5
EMPIRE CARE CENTERS,202,21,2,0,3,4,19,100,0,0,1.5,1.9,1.1,2.7,3.3,2.9,0.3,83.2,78,1.7,45,2.1,1073714.52,51129.26,3,0.1,26.3,11.5,1.7,3.2,76.3,56.7,61.4,1.87,0.97,12.2,2.9,11.1,2.2,1.1,24.9,19.8,89.8,75.5,0,55.6,7.1,0.9,14.4,11.4,15.7,3.2
EMPRES OPERATED BY EVERGREEN,665,31,6,0,4,4,12.9,100,0,0,2.7,2.8,2.9,3.3,3.7,3.3,0.7,55.3,48.9,0.2,68,2.2,1362060.7,43937.44,2,0.1,18.8,13.5,1.7,3.4,73.3,73.3,80.1,1.32,1.38,20.5,3.9,6.7,2.1,1,19.5,14.7,93.7,95.5,0,46.1,6.2,4.9,14.8,9.9,46.7,17.7
ENVIVE HEALTHCARE,204,9,1,0,1,0,0,77.8,0,22.2,2,2.1,1.7,2.3,3.5,3.2,0.7,66.6,68.9,1.3,31,3.4,574912.92,63879.21,7,0.8,23,11.4,2.3,4.7,72.3,37.2,53,2.09,1.5,15.2,2.5,9.2,1.8,1.1,24.1,22.3,73.4,77.6,0,52.5,5.4,4,21.2,10.3,55.4,15.1
EPHRAM LAHASKY,205,48,16,0,5,7,14.6,95.8,4.2,0,1.9,1.9,2.2,3.1,3.4,3.1,0.6,62.1,57.8,0.4,166,3.5,3889553.97,81032.37,23,0.5,22.6,13.2,1.9,3.4,75,63.7,65.3,1.9,1.26,16.6,3,7.7,1.3,1.1,17.3,16.2,90.4,84.3,0,45.2,6.3,14.3,18.1,10.8,52.1,15.2
EPIC GROUP,206,2,2,0,0,0,0,100,0,0,2.5,2.5,2.5,3.5,3.3,2.8,0.6,48.6,50,1,2,1,7364.5,3682.25,0,0,24.2,15.9,2.6,1.8,90.4,91.8,98.5,1.83,1.93,4.8,4.2,10.3,3,0.3,12.2,12.9,98,99.8,0,58.5,9.2,0,22.8,12.5,10.7,0.5
EPIC HEALTHCARE MANAGEMENT,207,5,1,0,0,0,0,100,0,0,4.6,4.6,1.8,4,3.3,2.9,0.5,33.8,37.7,0.4,3,0.6,2295.24,459.05,0,0,19.7,10.3,1.6,2,84.7,86.4,87,2,0.78,14.2,2.5,7.1,1.5,0.4,11.9,13.4,94.8,94.1,0,65.6,4.6,34.4,15.9,9.6,53,7.4
EPIC HEALTHCARE SOLUTIONS,208,3,2,0,1,3,100,100,0,0,1.3,1,3,2,4,3.4,0.9,,,1,3,1,200133.25,66711.08,2,0.7,16.4,18,0,0,68.9,80.4,87.3,2.26,1.47,13.4,6.8,14.7,1.2,1.2,19.8,19.8,91.9,94.9,0,32,11.6,10.6,11.4,11.2,60.5,43
EPISCOPAL RETIREMENT SERVICES,209,3,2,0,0,0,0,0,100,0,4.7,4,5,4.7,5.7,5.3,0.9,33.6,41,0,1,0.3,6201,2067,0,0,11.2,8.1,0,0,80.7,92.7,84.5,1.69,0.47,20.7,2.4,2.4,4.3,1.2,21.2,15.3,97.1,90.5,0.4,40.6,4.4,9.1,12.3,10.9,70.7,12.7
ERICKSON LIVING,210,16,9,0,0,0,0,0,100,0,4.7,4.2,4.6,4.4,4.7,4.2,1.1,41.5,38.9,0.7,46,2.9,148825.05,9301.57,0,0,20.9,7.6,1.7,2.4,80.2,89.2,78,1.26,0.51,10.3,3.8,8,3.1,1.5,17.3,14.7,94.7,85.6,0.1,67,5.1,1.3,13.8,10.8,78,32.7
ESSENTIAL HEALTHCARE,212,6,1,0,1,1,16.7,100,0,0,1.3,1.3,2.7,2.6,3.5,3,0.7,38.2,56.1,1.4,10,1.7,397568.5,66261.42,0,0,26.6,13.1,2.7,0.3,75.4,56.8,54.3,3.25,1.3,15.6,1.5,5.9,0.9,1.4,15.5,19.6,90,74.8,0,23.1,5.9,32.4,18.1,11.2,50.6,0.9
EVA CARE GROUP,213,9,1,0,1,0,0,100,0,0,3.6,2.6,4.1,4.8,4.4,4,0.7,42.6,41,0.8,31,3.4,710857.25,78984.14,4,0.4,18.7,10.4,0.8,2.2,75.4,99.8,99.7,1.8,0.77,8,1,7.4,1.6,0.9,6.9,7.4,100,99.9,0,21.1,7.6,0.5,13,11.4,67.7,18.7
EVANGELICAL GOOD SAMARITAN SOCIETY,584,3,3,0,0,0,0,0,100,0,2.7,1.7,3.7,3,4.4,3.8,1.4,54.5,52.1,0.3,4,1.3,112196.5,37398.83,2,0.7,31.6,10.7,2.3,3.3,80.9,67.6,66.7,2.1,0.98,18.3,6.5,10.7,7.4,0.9,12.6,14.5,90,72.2,4.2,49.5,11.5,2,19.8,9.5,50.8,7.3
EVANGELICAL LUTHERAN GOOD SAMARITAN SOCIETY,214,108,19,0,3,4,3.7,7.4,92.6,0,2.9,2.8,3.5,3.2,3.6,3.1,0.8,53.3,44.8,0.5,116,1.1,2273560.19,21051.48,12,0.1,20.5,12.3,1.6,2.7,78.1,69.6,82.2,1.57,1.13,14.8,4,6.4,4,2,19.2,16.5,95.7,94.8,0.1,49.6,5.8,3.6,15.2,9.8,55.8,7.6
EVERYAGE,666,2,2,0,0,0,0,0,100,0,5,4.5,5,3.5,5,4.4,0.6,43,16.7,0,0,0,0,0,0,0,23.1,12.3,1.2,2.5,90.2,87.8,86.4,1.89,0.76,12.9,4.6,14.8,5,0.1,20.1,14.4,97.5,92.3,0,31.4,2.1,2.1,24.8,10.4,58.1,12.9
EXCELCARE,216,5,1,0,0,0,0,100,0,0,3.4,3,2.2,4.8,3.1,2.8,0.6,54,60,1,11,2.2,58735.57,11747.11,2,0.4,25.3,8.8,1.3,2.2,87.2,95.4,91.7,2.14,0.82,7.1,2.7,10.3,0.8,1,8,7.5,99.9,98.8,0,29.7,4.7,2.4,18.6,10.9,27.8,1.9
EXCELSIOR CARE GROUP,217,21,3,0,0,0,0,100,0,0,2.6,2.5,2.2,3.8,3.3,3,0.5,40.5,53.2,0.8,90,4.3,660958.55,31474.22,0,0,23.3,10.1,1.6,1.8,79,71,65.7,1.92,0.77,9.6,2.5,10.8,1.2,0.9,13.8,13.5,92.6,84.6,0,42.9,7.8,21.5,14.5,10.5,41.2,22.7
EXTENDED CARE ASSOCIATES,218,5,2,0,0,0,0,100,0,0,2.2,2.4,2.8,2,3.7,2.9,0.3,52.6,27.7,0.8,4,0.8,189703.15,37940.63,0,0,20.6,15.1,0.5,3.3,68.2,77.1,81,2.46,1.95,20.6,3.7,12.4,5.2,1,16.2,21.1,98.7,97.6,0,36.3,2.8,2.8,31.3,11.1,37.3,0.2
EXTENDED CARE CLINICAL,219,6,1,0,0,2,33.3,100,0,0,1.3,2,2.2,1.7,2.9,2.6,0.6,62.5,46.7,,19,3.2,712495.5,118749.25,4,0.7,27,16.7,2.6,4.6,66,31.7,27.6,2.07,1.27,15,2.9,13.1,1.8,1.5,29.2,21.5,78.1,64.5,0,61.7,9.1,39.1,9.8,11.2,50.6,15.4
FAMILY OF CARING HEALTHCARE,220,8,1,0,0,0,0,100,0,0,4.1,3.4,3.9,4.8,4,3.5,0.8,44,39.8,0.3,19,2.4,83912.71,10489.09,1,0.1,24.3,8.2,0.9,1.8,82.7,79.8,83.6,1.47,0.69,12.1,2.9,8.4,0.8,1.2,11.5,10.8,94.2,96.3,0,39.7,4.8,10.6,14.7,10.1,44.8,28.9
FIRST ATLANTIC HEALTHCARE,221,11,1,1,0,2,18.2,100,0,0,1.9,1.8,3.6,2.4,4.1,3.7,0.8,70,52.3,0.2,8,0.7,193333.5,17575.77,0,0,24.5,18.3,1.7,2.6,54.9,69.1,69,1.51,1.79,18.8,2.8,7.9,3,1.8,21.5,16.3,95.1,93.3,0,70.4,6.7,4.7,18.9,9.9,54.8,6
FLORIDA INSTITUTE FOR LONG-TERM CARE,223,17,1,0,1,2,11.8,23.5,76.5,0,2.9,2.4,2.6,4.2,3.3,3.1,0.6,41.6,54.2,0.5,14,0.8,885166.39,52068.61,2,0.1,27.6,10.6,1.2,2,84.2,95.5,98.2,2.26,0.7,4.5,1.9,9.8,0.3,0.1,7.5,6,99.1,99.4,0,40.8,6.3,0.6,25.2,11,21.4,5.8
FOCUSED POST ACUTE CARE PARTNERS,224,27,1,0,0,5,18.5,92.6,0,7.4,1.6,2.1,1,3,2.9,2.5,0.3,60.8,58.6,0.6,53,2,1740623.02,64467.52,8,0.3,25.1,14.7,1.7,4,52.9,86,90.6,2.03,1.3,8.2,3.7,8.3,0.2,1.1,13.3,14.3,99.6,99.2,0,52.7,3.9,1.6,23.1,10.3,25.1,11.8
FOUNDATIONS HEALTH SOLUTIONS,225,56,1,0,0,0,0,100,0,0,3.7,3.6,1.8,4.3,3.4,3,0.5,44.8,39,0.4,56,1,426837.95,7622.11,6,0.1,24.1,12.3,1.5,3.4,80.6,72.5,73.5,1.62,0.97,15.3,3.6,6.9,0.3,0.3,6,12.3,95.4,89.4,0,42,6.4,56.3,27.1,11,44.2,4.1
FOURSQUARE HEALTHCARE,226,10,1,0,0,0,0,70,0,30,2.4,3.2,1,3.6,2.7,2.3,0.3,56.2,36.9,0,22,2.2,185390.35,18539.04,1,0.1,22.1,14,0.8,2.2,72.4,88.8,94.2,2.18,1.1,7.7,3.8,8.2,2.3,1.3,7.3,17.7,98.4,99.7,0,57.7,2.1,66.7,27.3,11.3,56.4,15
FRANCISCAN COMMUNITIES,227,6,3,0,0,0,0,0,100,0,4,3.5,4.2,4,4.2,3.8,1.3,52.7,39.2,0.6,11,1.8,98643.8,16440.63,1,0.2,24.1,10.5,0.5,3.1,70.3,90,90,1.74,0.79,14.5,3.6,9.1,1.1,1,14,8.3,96.7,95.8,0,74.3,5.6,4.7,15.9,10.5,43.2,4.4
FREEDOM MANAGEMENT COMPANY,228,3,2,0,0,0,0,100,0,0,4.3,3.7,4.7,4.3,5.6,4.9,0.9,33.1,36.8,0.3,1,0.3,9769.5,3256.5,0,0,24.5,14.3,0.4,3.6,76.5,94,95.4,1.85,1.03,6.1,0,6.5,5.9,1.2,14.8,4.8,95.6,100,0,56.8,8.7,7,15.7,10.8,29.3,14
FRONT PORCH,229,9,1,0,0,0,0,0,100,0,3.9,3.6,3.3,4.7,5,4.4,0.8,48,50,1,10,1.1,51941.81,5771.31,1,0.1,24.1,9.4,0.6,1.4,86.3,94.2,97.9,2.09,0.51,12.1,5.4,7.1,2.3,0.8,16.2,8.1,97.5,100,0,53.6,5.2,2.4,7,10,66.4,32.9
FRONTLINE MANAGEMENT,230,9,4,0,0,0,0,100,0,0,2.6,2.6,2.7,3.4,3.3,3,0.7,61.1,56.3,0.5,28,3.1,184066.78,20451.86,1,0.1,22.1,13,1.1,3.3,77.8,56.8,54.7,1.76,1.29,13.7,4.6,6.4,1.7,1,18.2,16.2,90.7,74.3,0,57.1,7.2,4.1,12.2,10.7,57.6,6.8
FUNDAMENTAL HEALTHCARE,231,73,7,1,5,13,17.8,90.4,1.4,8.2,2.1,2.3,1.6,3.1,3.2,2.9,0.4,57.1,55.6,0.8,195,2.7,3642900.05,49902.74,13,0.2,22.3,11.6,1.8,3,66.6,69.3,68.1,1.99,1.19,13.1,2.6,9,1.6,1,19.4,17.7,93.4,85.2,0,53.2,5.5,6.5,20.2,11.1,23.8,8.3
FUTURE CARE/LIFEBRIDGE HEALTH,232,17,1,0,0,0,0,94.1,5.9,0,2.9,2.7,3.5,3.6,3.9,3.5,1,45.3,38.8,0.4,11,0.6,45626.18,2683.89,0,0,22.7,8.7,1.5,3.9,71.1,76.7,73,1.37,0.64,12.2,1.8,12.2,2.7,1.1,26.4,18.2,94.6,89.5,0,62.7,6.5,14.4,10.9,11.9,46.1,12.3
GARDEN HEALTHCARE,233,6,1,0,0,2,33.3,100,0,0,1.8,1.8,1.3,3.6,3.2,2.9,0.4,59.3,67.5,0.8,28,4.7,450949.3,75158.22,4,0.7,27.5,11.3,1.9,2.3,95.1,47.7,55.8,1.98,1.41,6.6,4.3,6.7,0.2,0.2,4.3,12.6,76.1,78,0,37.2,6.9,24.2,27.3,10.6,50.4,11.1
GENERATIONS HEALTHCARE,236,32,4,0,0,1,3.1,100,0,0,3.7,3.4,3.4,4.3,4.2,3.6,0.6,48.4,48.6,0.2,58,1.8,637084.55,19908.89,6,0.2,23.2,12.9,1.5,1.5,84.1,88.5,88.7,1.87,1.2,14.9,2.1,7.4,1.7,1.3,10,7.2,96.9,94.7,0.1,43.6,4.5,10,15.4,10.4,48.3,8.2
GENESIS HEALTHCARE,237,236,21,3,20,20,8.5,98.7,1.3,0,2.4,2.3,2.3,3.3,3.3,3,0.6,53.7,48.1,1,278,1.2,9886728.59,41892.92,54,0.2,21.4,12.3,1.6,2.8,74,75,76.1,1.68,1.15,14.7,3.3,8.9,1.9,1,20.7,16.3,95.3,91.8,0.1,43.9,6.8,6,17.5,10.5,37.3,8.4
GLOBAL HEALTHCARE REIT,238,9,2,0,1,1,11.1,100,0,0,1.2,1.7,1.8,1.9,3.4,3.2,0.3,67.9,59.7,0.7,55,6.1,364192.31,40465.81,4,0.4,27.6,14,3.8,1.6,75.8,54.3,76.3,1.98,1.45,20.8,4.5,16.5,4.5,2.7,22.8,22.1,90.6,91.3,0.2,30.8,5.3,4.8,20.3,11.3,37.9,29.5
GOLD FL TRUST II,594,42,1,0,1,3,7.1,100,0,0,3,2.5,2.9,4.2,3.6,3.3,0.5,53.6,57.2,0.9,155,3.7,1803903.59,42950.09,3,0.1,24.6,10.5,1.4,1.9,84.8,91.6,92.7,2.26,0.78,7.9,2.1,7.8,0.3,0.5,11.6,6.5,99.7,98.8,0,45.1,6,4,18.7,11,26.1,19
GRACE HEALTHCARE,239,2,2,0,0,0,0,100,0,0,1,1,1.5,2.5,3.9,3.4,0.6,,,,4,2,58970.96,29485.48,0,0,18.5,17.7,2.2,0,72.9,91,92.3,2.12,1.99,19,1.8,8.2,1.5,4.6,26.2,18.6,98.7,98.5,0,31.3,1.9,3.1,27,10,13.2,0
GREEN TREE HEALTHCARE MANAGEMENT,241,4,2,0,1,1,25,100,0,0,2.5,2.8,1.5,2.8,3.7,2.9,0.5,,,,27,6.8,445926.16,111481.54,1,0.3,25.9,19.7,1.2,2.7,83.8,57.2,54.4,1.14,1.53,26.5,3.1,5.6,0.9,0.9,21.3,21.7,94.8,72.2,0,56.5,4.2,4.5,12.5,10.3,45.1,7.6
GUARDIAN ELDER CARE,242,23,2,0,0,1,4.3,100,0,0,2.6,2.6,2.5,3.4,3.4,3,0.7,50.2,50.3,0.5,19,0.8,456707.55,19856.85,2,0.1,21,11.2,1.9,3.6,74.7,73.1,78.1,1.58,0.94,14.9,3.4,8.7,2.4,1.1,19,12.2,94,89.6,0.1,52.2,6.2,2,23.3,10.3,44.4,18.3
GULF COAST LTC PARTNERS,243,12,1,0,0,2,16.7,83.3,0,16.7,1.5,2.8,1,1.6,3.2,3,0.2,63.3,44,0.4,21,1.8,460406.25,38367.19,4,0.3,38.9,14.3,5.2,4.7,63.6,85.6,89.5,2.66,1.81,19,4.4,7.5,3.8,1.8,20.6,25,95.2,96.1,0,52.6,7.5,2.6,23.7,10.8,36,11.7
HAMILTON COUNTY HOSPITAL DISTRICT,589,23,1,0,1,3,13,82.6,0,17.4,2.2,2.5,1.5,3.2,3.3,2.9,0.4,63.3,66.8,1.3,61,2.7,1473189.52,64051.72,5,0.2,28.1,10.1,0.9,1.6,60.3,78.5,86,1.88,1.28,9.9,3.7,6,1.4,1,16.2,18.8,97.2,97.2,0,54.4,2.9,4.6,24.9,10.7,21.1,6.1
HARBORVIEW HEALTH SYSTEMS,246,14,2,0,0,0,0,100,0,0,2.3,2.7,1.9,2.8,3.5,2.9,0.5,61.5,56.3,0.7,22,1.6,182239.65,13017.12,2,0.1,22.8,14.2,1.4,3.3,75.7,65.5,68.3,2.18,1.48,13.7,2.5,13.1,2.4,1.1,19.7,16.6,90.5,84.7,0,54.9,6.8,3.4,13,11.3,28.6,9.4
HARRISON SENIOR LIVING,248,2,2,0,0,0,0,100,0,0,3.5,3.5,2.5,3,3.6,3.2,0.5,74.4,76,2,6,3,75554.05,37777.03,0,0,24.6,15.1,1.3,2,74.7,85,85.7,1.57,1.28,13.4,3.4,8.8,0.7,0.4,19,13.7,98.4,89.3,0,50.5,9.6,4.6,15.7,11.5,18.4,46.6
HAVEN HEALTH,249,20,1,0,1,1,5,100,0,0,2.8,2.3,2.4,4.4,3.2,2.8,0.6,51.2,50.2,0.5,15,0.8,67387.81,3369.39,0,0,23.5,15.4,0.6,2.5,78.3,79.7,85.5,1.42,1.25,7.8,3.5,8.8,1,0.7,13.3,9.5,91.5,93.7,0,56.9,7,5.8,19,10.4,18.5,7.9
HAWAII HEALTH SYSTEMS CORPORATION,250,6,1,0,0,1,16.7,0,0,100,4.2,3.2,4.3,4.5,4.4,3.6,1.3,28.1,30.7,0,13,2.2,220847.46,36807.91,0,0,4.9,19.7,2.2,6.9,86.9,79.7,78.1,0.98,0.6,12.1,1.3,5.1,2.1,0.9,19.8,11.4,98.4,93,0,43.7,3.8,1.9,8,,74.3,13.7
